local_topics_sim:analytic,local_topics_sim:innovation,local_topics_sim:technology,global_topics_sim:analytic,global_topics_sim:innovation,global_topics_sim:technology,company,link,tic,edit_sim:analytic,edit_sim:innovation,edit_sim:technology,haskey:analytic,haskey:innovation,haskey:technology,sic,ni
0.5,0.5,0.5,-2.720355749130249,-1.7973287105560303,-1.3424129486083984,dnp select income fund inc.,https://www.prnewswire.com/news/dnp-select-income-fund-inc./,DNP,0.375,0.7272727272727273,0.4,0.0,0.0,0.0,,
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,docusign inc.,https://www.prnewswire.com/news/docusign%2C-inc./,DOCU,0.75,1.0,1.0,0.0,1.0,1.0,7370.0,-69.976
0.5,1.0,1.0,-1.881460428237915,0.9999998211860657,0.9999998211860657,dupont,https://www.prnewswire.com/news/dupont/,DPMI,0.625,1.0,1.0,0.0,1.0,1.0,3559.0,-72.949
0.5,1.0,1.0,-2.1643717288970947,0.9999998211860657,0.9999998211860657,dynavax technologies,https://www.prnewswire.com/news/dynavax-technologies/,DVAX,0.4,0.7,0.6363636363636364,0.0,0.0,0.0,2836.0,76.713
0.5,0.5,0.5,-2.341311454772949,-1.3257968425750732,-2.0668234825134277,earthstone energy inc.,https://www.prnewswire.com/news/earthstone-energy%2C-inc./,ESTE,0.2727272727272727,0.4,0.4,0.0,0.0,0.0,1311.0,35.484
0.5,1.0,1.0,-2.22713041305542,0.9999998211860657,0.9999998211860657,eastside distilling inc.,https://www.prnewswire.com/news/eastside-distilling%2C-inc./,EAST,0.75,0.8,1.0,0.0,0.0,1.0,2085.0,-2.196
0.5,1.0,1.0,-2.235215425491333,0.9999998211860657,0.9999998211860657,elekta,https://www.prnewswire.com/news/elekta/,,0.4166666666666667,0.5833333333333334,0.6,0.0,0.0,0.0,3577.0,-8.69
0.5,0.5,1.0,-2.235215425491333,-1.3257968425750732,0.9999998211860657,embraer s.a. eve uam llc,https://www.prnewswire.com/news/embraer-s.a.%3B-eve-uam%2C-llc/,,0.3333333333333333,0.46153846153846156,0.3,0.0,0.0,0.0,3577.0,-8.69
1.0,1.0,1.0,1.0,0.9999998211860657,0.9999998211860657,equinix inc.,https://www.prnewswire.com/news/equinix%2C-inc./,EQIX,0.625,1.0,1.0,0.0,1.0,1.0,6798.0,500.191
0.5,0.5,1.0,-2.1193416118621826,-1.4250335693359375,0.9999998211860657,erie indemnity company,https://www.prnewswire.com/news/erie-indemnity-company/,ERIE,0.3,0.7272727272727273,0.3,0.0,0.0,0.0,6411.0,297.86
0.5,1.0,1.0,-1.881460428237915,0.9999998211860657,0.9999998211860657,esquire financial holdings inc.,https://www.prnewswire.com/news/esquire-financial-holdings%2C-inc./,ESQ,0.375,0.5,0.3333333333333333,0.0,0.0,0.0,6020.0,17.925
0.5,0.5,1.0,-2.235215425491333,-1.3257968425750732,0.9999998211860657,essa pharma inc,https://www.prnewswire.com/news/essa-pharma-inc/,EPIX,0.4166666666666667,0.6,0.6,0.0,0.0,0.0,2836.0,-36.805
0.5,1.0,1.0,-2.51027250289917,0.9999998211860657,0.9999998211860657,everest medicines,https://www.prnewswire.com/news/everest-medicines/,FIXX,0.4,0.4666666666666667,0.4,0.0,0.0,0.0,2836.0,-95.764
